Reference,Administrative divisions,Location,Epidemiological unit,Number of outbreaks,Start Date,End Date,State,Report,,State,Count of State
VL1316/21 (ob_87033),Tawau,PULAU SEBATIK,Village,1,16/6/2021,16/9/2021,Sabah,,,,
VLD0766/21 (ob_84725),Nabawan,SAPULUT FOREST DEVELOPMENT SDN BHD,Village,1,9/4/2021,9/7/2021,Sabah,,,,
VL0669/21 (ob_84724),Beluran,"hutan simpan tawai, hutan simpan bersempadan ladang felcra perdana",Village,1,1/4/2021,1/7/2021,Sabah,,,,
VL0596/21 (ob_84722),Lahad Datu,"ladang wilmer, jalan kg. putatan baru",Village,1,25/3/2021,25/6/2021,Sabah,,,,
VL0415/21 (ob_83858),Kinabatangan,LOT 2 KINABATANGAN,Village,1,5/3/2021,5/6/2021,Sabah,,,,
VL0545/21 (ob_83857),Beluran,MANCHOON ESTATE SDN BHD,Village,1,19/3/2021,19/6/2021,Sabah,,,,
VL0517/21 (ob_83856),Lahad Datu,SEMPADAN LADANG KI KEPONG JALAN TUNGKU,Village,1,16/3/2021,16/6/2021,Sabah,,,,
VL0477/21 (ob_83855),Kinabatangan,LADANG LINBAR 2,Village,1,12/3/2021,12/6/2021,Sabah,,,,
VL0476/21 (ob_83854),Lahad Datu,"LADANG PELITA PERTAMA SDN BHD, JALAN FELDA SAHABAT 16",Village,1,12/3/2021,12/6/2021,Sabah,,,,
VL0473/21 (ob_83853),Tawau,"HUTAN SIMPAN TANJUNG, JALAN SAKINA HOTSPRING TAWAU",Village,1,11/3/2021,11/6/2021,Sabah,,,,
VL0468/21 (ob_83852),Tongod,maliau basin conservation area,Village,1,10/3/2021,10/6/2021,Sabah,,,,
VL0457/21 (ob_83851),Tongod,"IMBOK FILED OUTPOST, GUNUNG RARA",Village,1,10/3/2021,10/6/2021,Sabah,,,,
VL0456/21 (ob_83850),Tongod,"LADANG BATU KAPUR, BENTA WAWASAN",Village,1,10/3/2021,10/6/2021,Sabah,,,,
0326/2021 (ob_82879),Beluran,"FELCRA BERHAD ESTATE, SUNGAI RUKU RUKU",Village,1,1/3/2021,1/6/2021,Sabah,,,,
0325/2021 (ob_82878),Sandakan,"BATU 30, ULU DUSUN",Village,1,1/3/2021,1/6/2021,Sabah,,,,
0324/2021 (ob_82877),Kinabatangan,myne resort bilit sukau,Village,1,1/3/2021,1/6/2021,Sabah,,,,
